country,code,symbol,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,MRVL,MRVL,2019,Q4,2019-01-31,USD,744799000.0,422797000.0,106168000.0,362270000.0,-47395000.0,116315000.0,-20717000.0,-69348000.0,-260698000.0,657835000.0,657835000.0,582410000.0,0.0,1395258000.0,318978000.0,8621494000.0,636796000.0,2073546000.0,1317000.0,1116495000.0,7306410000.0,-33802000.0,31809000.0,87924000.0,106641000.0,15737000.0,-150229000.0,-27851000.0,610261000.0,-29245000.0
US,MRVL,MRVL,2020,Q1,2019-04-30,USD,662452000.0,301024000.0,110005000.0,376872000.0,-19974000.0,118394000.0,-19935000.0,-41177000.0,-48450000.0,658963000.0,658963000.0,571893000.0,0.0,1342932000.0,326599000.0,8705286000.0,647370000.0,2170716000.0,1323000.0,1028578000.0,7230132000.0,20341000.0,-16409000.0,12577000.0,165816000.0,-21009000.0,-155324000.0,-10517000.0,582410000.0,-20667000.0
US,MRVL,MRVL,2020,Q2,2019-07-31,USD,656568000.0,305866000.0,113990000.0,380344000.0,-47348000.0,118893000.0,-19454000.0,-67879000.0,-57331000.0,637011111.0,663603000.0,573496000.0,0.0,1901407000.0,319761000.0,8079733000.0,620672000.0,2156656000.0,1334000.0,931358000.0,7203812000.0,-62170000.0,-96967000.0,12054000.0,73140000.0,-23095000.0,-48442000.0,1603000.0,571893000.0,-23048000.0
US,MRVL,MRVL,2020,Q3,2019-10-31,USD,662470000.0,322403000.0,115193000.0,382974000.0,-59728000.0,128842000.0,-20149000.0,-80969000.0,-82501000.0,668178000.0,668178000.0,438369000.0,0.0,1886566000.0,316214000.0,8416696000.0,654454000.0,2482990000.0,1341000.0,808717000.0,7165818000.0,-54968000.0,8006000.0,17643000.0,65503000.0,-481307000.0,280677000.0,-135127000.0,573496000.0,-21156000.0
US,MRVL,MRVL,2020,Q4,2020-01-31,USD,717671000.0,412927000.0,121592000.0,400781000.0,1011063000.0,144526000.0,-21277000.0,988407000.0,1772673000.0,665562000.0,675700000.0,647604000.0,0.0,1537497000.0,467999000.0,9595738000.0,710166000.0,1744489000.0,1328000.0,2541313000.0,8678580000.0,-93985000.0,-111073000.0,-1043290000.0,55838000.0,1084257000.0,-930860000.0,209235000.0,438369000.0,-21762000.0
US,MRVL,MRVL,2021,Q1,2020-04-30,USD,693641000.0,366739000.0,122027000.0,422898000.0,-91184000.0,163405000.0,-15772000.0,-108014000.0,-113033000.0,663547000.0,663547000.0,667548000.0,0.0,1478964000.0,472818000.0,9502565000.0,690641000.0,1755266000.0,1330000.0,2388517000.0,8535622000.0,34462000.0,-21401000.0,28735000.0,175628000.0,-38362000.0,-117322000.0,19944000.0,647604000.0,-39027000.0
US,MRVL,MRVL,2021,Q2,2020-07-31,USD,727297000.0,368041000.0,112794000.0,510523000.0,-151130000.0,163184000.0,-15058000.0,-166765000.0,-157893000.0,657887500.0,667574000.0,831534000.0,0.0,1632087000.0,453936000.0,9294395000.0,1224830000.0,1284115000.0,1340000.0,2190505000.0,8417537000.0,39764000.0,21375000.0,121005000.0,225830000.0,-20586000.0,-41258000.0,163986000.0,667548000.0,-20620000.0
US,MRVL,MRVL,2021,Q3,2020-10-31,USD,750143000.0,369083000.0,115501000.0,390450000.0,-8483000.0,157267000.0,-15458000.0,-24549000.0,-22908000.0,670487000.0,670487000.0,832041000.0,0.0,1659326000.0,440428000.0,9165446000.0,1168084000.0,1267071000.0,1343000.0,2127368000.0,8389617000.0,48761000.0,56353000.0,13768000.0,257534000.0,-37547000.0,-219480000.0,507000.0,831534000.0,-37071000.0
US,MRVL,MRVL,2021,Q4,2021-01-31,USD,797819000.0,376687000.0,116918000.0,422868000.0,-2107000.0,157672000.0,-20377000.0,-22840000.0,16536000.0,673529000.0,687959000.0,748467000.0,0.0,1617145000.0,427536000.0,9147779000.0,1077097000.0,1252023000.0,1350000.0,2103441000.0,8435804000.0,-55114000.0,-13708000.0,-20278000.0,158295000.0,-23149000.0,-218720000.0,-83574000.0,832041000.0,-22788000.0
US,MRVL,MRVL,2022,Q1,2021-05-01,USD,832300000.0,414100000.0,201500000.0,500500000.0,-80900000.0,180400000.0,-34900000.0,-116000000.0,-88200000.0,693378000.0,693400000.0,522512000.0,0.0,1887811000.0,580636000.0,19342126000.0,1160103000.0,5214464000.0,1633000.0,1974642000.0,14855370000.0,-221100000.0,-98300000.0,45100000.0,-13700000.0,-3624600000.0,3412300000.0,-226000000.0,748500000.0,-24800000.0
