country,code,symbol,fiscal_year,period,report_date,reported_currency,revenue,net_income,pretax_income,operating_profit,gross_profit,admin_expense,other_income,interest_expense,income_tax,comprehensive_income,basic_eps,operating_cash_flow,investing_cash_flow,financing_cash_flow,cash_equivalents,total_assets,total_equity,current_assets,total_liabilities,current_liabilities,fixed_assets,share_capital
HK,00148,00148,2021,Q2,2021-06-30,HKD,22217777463.36,4211763466.32,6110155650.48,6122447136.24,7230659540.88,1022290991.76,96751766.16,89929542.24,1166565342.96,5329727848.56,3.81,2920958594.4,57956036.16,-4405277815.68,4039451347.44,81155187913.2,48851950163.28,41107150054.56,28147293538.32,24788920472.88,12063605674.56,92260198.32
HK,00148,00148,2021,Q4,2021-12-31,HKD,24185334559.04,4600355496.880001,6625321565.52,6624300695.76,8157892883.12,925840502.6400001,-155228970.95999998,135303723.36,1304711599.44,4739477277.839999,4.140000000000001,4846217695.200001,-4973593711.36,590536087.6800003,4506903083.2,84879771916.8,51522839827.2,41096660729.6,28724311560.0,21949316580.8,12753232217.6,90654670.4
HK,00148,00148,2022,Q2,2022-06-30,HKD,23798386385.34,2060679507.04,3866097626.93,3867923457.58,6999273478.54,1182591794.79,110566659.91,132743446.99,1384650101.66,1123739329.37,1.86,2991116819.95,-1951951505.63,84990492.58,5838268389.73,86335374636.28,52552067747.69,39481810721.43,29519769971.44,19036033389.8,13959280053.04,94822612.01
HK,00148,00148,2022,Q4,2022-12-31,HKD,20307624700.929996,1204418862.3600001,2187657478.5099998,2401237455.4700003,4053231266.1400003,903078423.3800001,88380647.95000002,317707602.45,927595372.2,-1072517441.0299999,1.09,6464070202.099999,-2810383508.87,-3450025229.77,5978956248.72,86909052993.77,53647701481.85,40416081544.3,29118208036.4,15307514208.84,15234985151.19,99044884.33
HK,00148,00148,2023,Q2,2023-06-30,HKD,17259336522.8,1281191705.82,1672100162.06,2055582069.4,3577463108.08,1103860838.56,138190972.3,463806648.9,264702301.96,-184157207.18,1.16,998804905.48,-4797468533.18,1994948976.68,4367407274.26,91195976462.34,54493794778.38,42372852865.24,32659892217.1,19092024395.32,16466546204.36,102183965.38
HK,00148,00148,2023,Q4,2023-12-31,HKD,18728924320.98,588313873.8,854179300.3600001,1330209908.0,3302708658.2200003,924042028.6400001,150833397.18,555204210.96,137305046.02,1456436620.2,0.53,3813969113.5800004,-2671059318.3599997,-1431024582.64,3704919162.84,89687257631.72,54138816165.42,40033000725.76,31295314482.88,17148510712.62,17585198193.78,100437268.82
HK,00148,00148,2024,Q2,2024-06-30,HKD,18632508228.8,1375343047.04,1951950541.36,2415584679.92,4186723273.8,991099290.96,87192883.8,561534584.12,380805690.52,910062433.76,1.24,-289898199.12,-810111196.24,1062087541.36,3693407868.96,91092692425.6,54904805388.44,40222950275.36,31813311402.36,18092528408.24,18345359934.52,101153237.08
HK,00148,00148,2024,Q4,2024-12-31,HKD,21273566853.280003,134406820.12000012,568717374.0800002,1024271465.56,3677750139.5999994,956177621.04,57521239.08,472257578.20000005,192093585.68000007,318841726.3599999,0.1200000000000001,5625481387.92,-590255752.1600001,-4360153998.28,3606299796.96,90552500990.16,55400133714.96,36579473628.6,30601368698.28,18068131275.12,19712471795.88,102633939.24
HK,00148,00148,2025,Q2,2025-06-30,HKD,19705661826.5,2354334805.55,2894547539.0,3197760882.55,3856987650.75,1012458745.35,61692505.55,410641965.5,289945383.0,3816601945.0,2.12,552613429.55,-3259061249.6,1994603360.75,2839584312.5,94545071123.75,57054336057.55,39780745478.5,33073538354.35,19730506992.3,20137168296.05,101072330.45
HK,00148,00148,2025,Q4,2025-12-31,HKD,21277958318.58,1621286475.4299998,2257512372.66,2587252121.3899994,3301620651.91,1088686585.9099998,174317074.01,314582275.53999996,250166628.70000005,3013490792.1400003,1.4699999999999998,3727560087.13,-129984576.44000006,-3772404964.21,3138273115.58,93822954784.04,58407036523.78,38356970579.18,30743229718.52,20706829722.52,20426928167.06,100104775.82
