country,code,symbol,fiscal_year,period,report_date,release_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_equity,debt_to_assets,ocf_to_revenue,fcf_margin,accrual_ratio,revenue_yoy,revenue_qoq,net_income_yoy,net_income_qoq,eps_yoy,revenue_ttm,net_income_ttm,eps_ttm,net_margin_ttm,roe_ttm,revenue_ttm_yoy,net_income_ttm_yoy,eps_basic,eps_surprise,eps_surprise_pct
US,NVDA,NVDA,2019,Q4,2019-01-27,2019-02-21,0.5473922902494331,0.15328798185941042,0.2566893424036281,0.06015836743370356,0.042005269212215667,7.943566591422122,0.4228216655962321,0.29717123081552815,0.4072562358276644,0.31519274376417233,-0.024639133177483393,-0.24252834077636554,-0.30682175416535684,-0.49419124218051835,-0.5398373983739837,-0.4966829109382498,11716000000.0,4141000000.0,0.16999178981937602,0.35344827586206895,0.4401339214540044,0.20609429689108505,0.3590416803413192,0.023234811165845647,0.0,0.0
US,NVDA,NVDA,2020,Q1,2019-04-28,2019-05-16,0.5837837837837838,0.1810810810810811,0.17747747747747747,0.04137351674892366,0.02885073042141105,8.984784446322909,0.44486809563066776,0.3078952999072819,0.32432432432432434,0.26666666666666666,-0.02387141654157361,-0.3077642656688494,0.006802721088435382,-0.6832797427652733,-0.30388692579505305,-0.6838015224312284,10729000000.0,3291000000.0,0.13554365733113674,0.3067387454562401,0.3455843746718471,-0.023215586307356206,-0.1302854122621564,0.016227347611202637,0.0,0.0
US,NVDA,NVDA,2020,Q2,2019-07-28,2019-08-15,0.5975184179914695,0.24001550988755332,0.2140364482357503,0.055089820359281436,0.038338658146964855,8.649202733485193,0.42946981424148606,0.3004399323181049,0.3629313687475766,0.319115936409461,-0.026670370884845116,-0.1741914825488312,0.16171171171171173,-0.49863760217983655,0.4010152284263959,-0.5002841125175054,10185000000.0,2742000000.0,0.11256157635467981,0.26921944035346096,0.27365269461077846,-0.14246021722657232,-0.3626220362622036,0.022660098522167486,0.0,0.0
US,NVDA,NVDA,2020,Q3,2019-10-27,2019-11-14,0.6357000663570007,0.3224950232249502,0.2982747179827472,0.0834338747099768,0.05878698708517247,8.420338983050847,0.40984483681112893,0.2907020872865275,0.544127405441274,0.5099535500995355,-0.04845512506130456,-0.05249921408362146,0.16867002714230317,-0.2691056910569106,0.6286231884057971,-0.2703038784486206,10018000000.0,2411000000.0,0.09881147540983606,0.24066679976043123,0.2237587006960557,-0.19352761230075677,-0.4863655730720068,0.03684426229508197,0.0,0.0
US,NVDA,NVDA,2020,Q4,2020-01-26,2020-02-20,0.6489533011272142,0.3314009661835749,0.30628019323671496,0.08121957468613887,0.0574188679245283,7.673766816143497,0.4187971156997706,0.29517759168351143,0.4718196457326892,0.4251207729468599,-0.031033962264150942,0.40816326530612246,0.03019243530192428,0.6802120141342756,0.05784204671857629,0.6719756807316568,10918000000.0,2796000000.0,0.1142156862745098,0.2560908591317091,0.2387906738406354,-0.06811198361215431,-0.3248007727602028,0.038848039215686275,0.010000000000000002,0.25000000000000006
US,NVDA,NVDA,2021,Q1,2020-04-26,2020-05-21,0.6506493506493507,0.32662337662337665,0.29772727272727273,0.07248152392996877,0.04520693140082329,10.291119285338938,0.7752500190854263,0.43669906252687707,0.29512987012987013,0.2448051948051948,0.00039438980502354016,0.3873873873873874,-0.008051529790660261,1.3274111675126905,-0.035751840168243953,1.3008771639742722,11778000000.0,3319000000.0,0.13513843648208468,0.28179656987604007,0.26234043394063944,0.09777239258085557,0.00850805226374951,0.0373371335504886,0.0,0.0
US,NVDA,NVDA,2021,Q2,2020-07-26,2020-08-19,0.5884635281945163,0.17149508535954475,0.16088980858768753,0.046051900936586086,0.025684436552834786,6.091701244813278,0.8096880839442289,0.4474185861795075,0.40532850491464045,0.34919813760993273,-0.03902217450551266,0.49903063202791786,0.2551948051948052,0.12681159420289845,-0.32170119956379495,0.11400691699604759,13065000000.0,3389000000.0,0.13754058441558442,0.2593953310371221,0.2509162255210454,0.28276877761413854,0.2359591539022612,0.025243506493506495,0.0,0.0
US,NVDA,NVDA,2021,Q3,2020-10-25,2020-11-18,0.6263224714346171,0.2964451967837495,0.28269149386373255,0.09135667396061269,0.05132440790611014,3.9228672662850914,0.7530324768488327,0.4295599122056471,0.27063055438002537,0.1705459162082099,0.0021897389600660762,0.5680159256801594,0.22245214692188298,0.486095661846496,1.147909967845659,0.46685817755074854,14777000000.0,3826000000.0,0.15477346278317153,0.25891588279082356,0.26162472647702406,0.4750449191455379,0.5868934052260473,0.0540453074433657,0.010000000000000009,0.16666666666666682
US,NVDA,NVDA,2021,Q4,2021-01-31,2021-02-26,0.6308215070957426,0.30441734959024586,0.29122526484109534,0.09042107549570236,0.05234229055898836,4.090445859872611,0.7043153969099627,0.4132541419193498,0.41315210873475916,0.3565860483709774,-0.02191406811323466,0.6112721417069242,0.05861193398222597,0.5320715036803365,0.09056886227544902,0.514745977790575,16675000000.0,4332000000.0,0.17495961227786752,0.25979010494752625,0.26884289570856734,0.5272943762593882,0.5493562231759657,0.058844911147011306,0.009999999999999995,0.14285714285714277
US,NVDA,NVDA,2022,Q1,2021-05-02,2021-05-26,0.6410528175234057,0.37042925278219396,0.33774951422010246,0.10721395127148345,0.06417507174383674,4.527222777222777,0.640353680622137,0.39037537342512013,0.3310369192722134,0.27839604310192545,0.0012754459865406884,0.8379870129870131,0.13152108734759138,1.085059978189749,0.3122855181880577,1.0615568866481575,19256000000.0,5327000000.0,0.2144524959742351,0.2766410469464063,0.29870748871505876,0.6349125488198335,0.6050015064778547,0.07697262479871175,0.009999999999999995,0.12499999999999993
