country,code,symbol,fiscal_year,period,report_date,reported_currency,revenue,total_operating_cost,cost_of_revenue,taxes_and_surcharges,selling_expense,admin_expense,finance_expense,operating_profit,non_operating_income,non_operating_expense,income_tax,net_income_attr_parent,total_shares,capital_reserve,retained_earnings,surplus_reserve,cash_equivalents,accounts_receivable,prepayments,inventories,current_assets,intangible_assets,deferred_tax_assets,non_current_assets,accounts_payable,payroll_payable,taxes_payable,current_liabilities,non_current_liabilities,equity_attr_parent,total_equity,other_payables,receivables_and_notes,notes_and_accounts_payable,other_receivables,fixed_assets,cash_from_sales,cash_from_other_operating,cash_paid_goods,cash_paid_employees,cash_paid_taxes,cash_paid_other_operating,operating_cash_flow,capital_expenditure,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_end_period
CN,603986,603986,2018,Q4,2018-12-31,CNY,524660359.2199998,512687080.31999993,326756091.13,2808388.01,21663814.409999996,39249076.34,5004174.800000001,26835149.069999993,7724639.010000002,1635665.9300000002,-4388007.329999998,37666805.05000001,284644488.0,734757529.49,1054500811.17,113072336.82,933945940.61,103305491.69,12887465.11,629300734.96,1769254948.47,12925338.45,33019720.73,1091575592.97,269670711.18,64381015.99,18709000.26,627290757.73,336362285.13,1897177498.58,1897177498.58,175741121.29,103305491.69,269670711.18,33932445.54,250917350.71,583120699.5800002,142623200.19,334339911.97,40420034.26999998,34055476.89999999,34079776.53999999,318353627.68999994,66627073.30999997,-65832863.52000001,-53591822.91,195271459.99,195271459.99
CN,603986,603986,2019,Q1,2019-03-31,CNY,456337509.24,425323032.1,280740772.24,4625849.08,19729818.25,30657511.66,16881021.13,34857957.59,4330328.31,29550.21,-408482.91,39675056.35,284894488.0,763711149.7,1094875710.3,113072336.82,908987747.25,102309712.4,12786646.11,528798840.25,1616501085.52,45994921.86,37877381.02,1150409341.38,,33848731.75,2430935.64,432631321.49,332795705.49,1999750064.98,2001483399.92,155878453.36,102309712.4,150429375.76,21670719.94,247307027.64,460831820.41,11712090.23,318272018.09,85928838.01,16506391.75,62221502.63,34269773.35,53071154.76,-57548221.7,6375395.68,-24958193.36,908987747.25
CN,603986,603986,2019,Q2,2019-06-30,CNY,745720085.8499999,611110757.56,466335679.97,3507933.09,24858054.28,33874702.45999999,-19826941.25,153035116.87,4340824.180000001,13265.300000000003,9893779.290000001,147811923.35,307582502.0,2206327944.12,1161117971.49,113072336.82,922208970.16,153784922.24,39106886.33,550927469.72,1766683953.03,238007686.33,49246408.82,2924168481.61,259891244.25,43133806.6,6906880.6,838595376.93,242520616.77,3607971399.81,3609736440.94,390274983.93,155386778.97,289891244.25,21704324.91,466992961.6,743387925.78,49141290.55,394349218.37000006,71786943.46999998,8979011.55,42266497.9,316355954.19,30500614.68,-118901720.66000001,-200195987.27,7096222.91,7096222.909999967
CN,603986,603986,2019,Q3,2019-09-30,CNY,1001607890.28,753799794.7900001,595109538.9099998,6171812.199999999,36670487.34,45870081.81000001,-38146854.400000006,268208431.42999998,7817269.640000001,50.0,14312303.74,262201489.64,321075826.0,3201164679.98,1423319461.13,113072336.82,1904316188.5,199955860.48,32314068.13,567286992.09,2745819653.23,229936616.49,57988438.75,3053238070.25,344946998.77,72870073.21,10302459.41,605066274.34,237032503.84,4955682046.48,4956958945.3,115376213.15,201600311.42,359946998.77,8411540.35,480555546.11,988474470.73,44945778.42,593349127.78,73902333.11000001,18874585.99,50270514.03,352863622.2,58656889.06999999,-304243733.15,915033654.62,985107218.34,985107218.34
CN,603986,603986,2019,Q4,2019-12-31,CNY,999251617.8299999,807521757.8900001,562903814.4200001,7655874.590000002,43540519.97,60440859.03999999,14933450.170000002,205355479.05000007,5933757.069999998,40112270.52,14652044.739999998,157233620.89000005,321075826.0,3213245538.18,1534406985.1,160546044.78,1970135425.71,186770449.0,7751311.07,629178321.11,2869242990.76,225139586.57,63100034.57,3304281475.74,376977585.79,101574870.38,21784923.6,678068684.2,269410483.44,5225477100.07,5226045298.86,125122298.18,191093406.09,394977585.79,9174599.49,556712371.9,1019090331.69,21088009.5,668967104.97,76146479.43999997,18081846.130000003,64559361.870000005,263857853.92999995,134727916.73000002,-187732205.60000002,-7394313.909999967,62819237.21000004,62819237.21000004
CN,603986,603986,2020,Q1,2020-03-31,CNY,805476025.47,645485896.55,475875208.75,3756251.49,32053834.93,45830134.85,-22318664.31,168251933.04,11176550.22,50.26,11719411.23,167919943.25,321033761.0,3220456341.77,1728150999.98,160546044.78,1950853553.12,159520183.98,28848496.89,794526304.09,3009428138.23,332801668.16,71897290.7,3264732639.28,293066819.49,42012135.22,49471214.64,560202619.28,273249633.16,5440708525.07,5440708525.07,109298832.33,160329318.01,326066819.49,11490833.96,552724116.79,850486504.32,32921588.2,802325081.67,165452422.67,11080053.42,60877754.42,-70752524.62,55132324.49,45491857.35,-8455834.77,-22281872.59,1941728553.12
CN,603986,603986,2020,Q2,2020-06-30,CNY,852327878.24,715862804.97,509261386.16999996,2113976.4699999997,31016947.020000003,51913621.73,-2908923.580000002,183008693.67,-5550334.7700000005,3940200.0100000002,-21783742.98,195301901.87,470780652.0,7411966885.98,2065854051.37,160546044.78,3229738843.32,171979205.3,24494685.23,917374022.69,8093032592.35,318564479.49,121484399.93,2855511406.92,352643565.92,61355107.65,38080835.61,576884231.45,271306374.47,10100353393.35,10100353393.35,61418586.03,172479205.3,382643565.92,10184142.57,560675588.37,860268124.35,36985595.45999999,659082815.6,77719314.87,13632026.229999999,66845734.53999999,148082561.32,76878157.16,-3031614929.13,4163059784.78,1281885290.1999998,1281885290.2000003
CN,603986,603986,2020,Q3,2020-09-30,CNY,1515909970.83,1222236596.4,897843110.91,6262854.86,86883085.52,54336675.7,48762874.84,347173475.55,495960.28000000026,3113971.6199999996,34836244.510000005,309719219.70000005,471570811.0,7487824752.03,2383554331.06,160546044.78,7041864607.22,460888751.78,1688255.39,705107939.41,8580156169.44,307391398.62,106269848.63,2925762657.65,422324419.39,91558920.07,60080767.95,779383811.05,248935371.65,10477599644.39,10477599644.39,106807435.17,463588751.78,452324419.39,14286823.9,643067368.63,1311288887.92,15509897.790000007,691039921.81,93339892.78999999,6596717.9700000025,61521822.17999999,540237268.87,116864192.88,3276214063.19,52701039.25999975,3812125763.9000006,3812125763.9
CN,603986,603986,2020,Q4,2020-12-31,CNY,1323180993.2700005,1369213416.0,933012528.4500003,6366705.8999999985,44127516.140000015,62429410.0,37042690.480000004,240833667.95000005,1341126.2699999996,462043.85000000056,33951707.44,207761042.92999995,471594449.0,7520939313.86,2509335368.08,243038314.75,7362151717.48,172164315.82,2471520.68,739228669.48,8728991527.32,293356955.16,131389510.74,2981735945.63,423232349.18,138942758.21,17935165.01,776291404.07,240456546.92,10693979521.96,10693979521.96,113912984.5,235164375.89,423232349.18,18417886.0,694404964.57,1613441623.5900002,97618301.02,1085975888.88,93694338.67000002,73399395.66,81319897.48000002,442142819.8599999,112420104.10999998,28198797.179999948,-82778944.17000008,318106496.9899998,318106496.9899998
CN,603986,603986,2021,Q1,2021-03-31,CNY,1603963163.57,1294840092.37,1030393697.7,5884327.55,59246519.85,70444756.83,-36028532.43,335580534.3,1622846.72,7294.5,35895846.93,301300239.59,474396481.0,7848492438.06,2812321815.03,243038314.75,5700263779.86,196523183.74,21975664.25,890535651.78,9510001631.96,279432688.64,114965559.76,3048581556.12,540289787.31,57281664.71,11896070.72,1227279547.62,282690630.76,11048613009.7,11048613009.7,388020825.45,196523183.74,585289787.31,21644021.01,693565280.65,1776780226.36,109684651.7,1131331667.23,222149707.01,13395608.77,145356506.15,434461352.17,92823393.8,-2393599229.21,275713258.15,-1673185832.24,5680660271.97
